id,repeat,budgetMs,variant,elapsedMs,nodes,depth,move,gapCp,deltaGapCp,changed,pvLength,lmrReductions,lmrResearches
15,0,1000,history,1000.101,526208,6,7h8g,0,0,False,6,4767,4
15,0,1000,baseline,1000.1,351717,5,7h8g,0,0,False,5,0,0
15,0,1000,fast,1000.097,539650,5,7h8g,0,0,False,5,0,0
15,0,1000,lmr,1000.092,603370,7,7h8g,0,0,False,9,5331,23
15,1,1000,baseline,1000.102,355500,5,7h8g,0,0,False,5,0,0
15,1,1000,fast,1001.036,533585,5,7h8g,0,0,False,5,0,0
15,1,1000,lmr,1000.087,580387,7,7h8g,0,0,False,9,5071,22
15,1,1000,history,1000.093,564989,6,7h8g,0,0,False,6,4935,4
0,0,3000,baseline,3000.103,758562,6,3b3a,0,0,False,6,0,0
0,0,3000,fast,3000.104,1253383,6,3b3a,0,0,False,6,0,0
0,0,3000,lmr,3000.198,1324640,7,3b3a,0,0,False,7,7145,14
0,0,3000,history,3000.108,1421242,6,3b3a,0,0,False,6,8034,6
0,1,3000,fast,3000.104,1302035,6,3b3a,0,0,False,6,0,0
0,1,3000,lmr,3000.105,1294186,6,3b3a,0,0,False,6,6913,14
0,1,3000,history,3000.112,1380043,6,3b3a,0,0,False,6,7961,6
0,1,3000,baseline,3000.103,755318,6,3b3a,0,0,False,6,0,0
1,0,3000,fast,3000.104,1469914,7,5c5d,0,0,False,7,0,0
1,0,3000,lmr,3000.108,1360222,9,5c5d,0,0,False,9,37380,32
1,0,3000,history,3000.113,1430620,8,5c5d,0,0,False,9,35098,7
1,0,3000,baseline,3000.108,803289,6,5c5d,0,0,False,6,0,0
1,1,3000,lmr,3000.105,1201948,9,5c5d,0,0,False,9,33549,30
1,1,3000,history,3000.171,1317339,8,5c5d,0,0,False,9,30263,5
1,1,3000,baseline,3000.106,765640,6,5c5d,0,0,False,6,0,0
1,1,3000,fast,3000.105,1397058,7,5c5d,0,0,False,7,0,0
2,0,3000,lmr,3000.112,1309160,7,3f3e,48,0,False,7,32269,10
2,0,3000,history,3000.106,1290648,6,3f3e,48,0,False,6,28063,8
2,0,3000,baseline,3000.106,852196,5,3f3e,48,0,False,5,0,0
2,0,3000,fast,3000.116,1260621,5,3f3e,48,0,False,5,0,0
2,1,3000,history,3000.109,1341440,6,3f3e,48,0,False,6,28219,8
2,1,3000,baseline,3000.094,758131,5,3f3e,48,0,False,5,0,0
2,1,3000,fast,3000.144,1188853,5,3f3e,48,0,False,5,0,0
2,1,3000,lmr,3000.113,1261121,7,3f3e,48,0,False,7,32174,10
3,0,3000,history,3000.106,1724951,6,9a9e,0,0,False,6,13642,3
3,0,3000,baseline,3000.097,981423,5,9a9e,0,0,False,5,0,0
3,0,3000,fast,3000.102,1824619,5,9a9e,0,0,False,5,0,0
3,0,3000,lmr,3000.119,1929984,6,9a9e,0,0,False,6,5543,46
3,1,3000,baseline,3000.137,863440,5,9a9e,0,0,False,5,0,0
3,1,3000,fast,3000.098,1635520,5,9a9e,0,0,False,5,0,0
3,1,3000,lmr,3000.098,1846303,6,9a9e,0,0,False,6,4938,46
3,1,3000,history,3000.094,1555466,6,9a9e,0,0,False,6,9053,3
4,0,3000,baseline,3000.1,883360,6,6h5g,0,0,False,8,0,0
4,0,3000,fast,3000.115,1605409,6,6h5g,0,0,False,8,0,0
4,0,3000,lmr,3000.1,1373377,8,6h5g,0,0,False,8,27389,51
4,0,3000,history,3000.108,1567443,7,6h5g,0,0,False,8,23860,13
4,1,3000,fast,3000.134,1470952,6,6h5g,0,0,False,8,0,0
4,1,3000,lmr,3005.407,1369043,8,6h5g,0,0,False,8,27356,51
