id,rep,ms,variant,move,gap_cp,raw_cp_gap,effort_or_depth,iteration_unit,seldepth,pv_plies,nodes,elapsed_ms,fallback,stop,reductions,researches,max_legal_width
12,0,1000,clipped,7h8g,254,254,4,effort_steps_4,24,5,402296,1000.101,False,time_limit,137886,533,141
12,0,1000,tempo,7f7e,299,299,5,effort_steps_4,24,6,403497,1000.102,False,time_limit,143613,107,147
12,1,1000,history,7f7e,299,299,5,plies,13,6,411710,1000.099,False,time_limit,4701,11,0
12,1,1000,adaptive,7h8g,254,254,4,effort_steps_4,20,5,395058,1000.109,False,time_limit,146780,469,138
12,1,1000,blend,7h8g,254,254,4,effort_steps_4,24,5,398218,1000.091,False,time_limit,137097,531,141
12,1,1000,clipped,7h8g,254,254,4,effort_steps_4,24,5,401700,1000.096,False,time_limit,137856,533,141
12,1,1000,tempo,7f7e,299,299,5,effort_steps_4,24,6,404208,1000.1,False,time_limit,144111,107,147
12,1,1000,baseline,7f7e,299,299,5,plies,13,6,450949,1000.104,False,time_limit,0,0,0
12,0,300,baseline,B*4h,0,0,4,plies,12,4,148085,300.098,False,time_limit,0,0,0
12,0,300,history,B*4h,0,0,4,plies,12,4,145659,300.096,False,time_limit,508,1,0
12,0,300,adaptive,7h8g,254,254,4,effort_steps_4,20,5,143516,300.095,False,time_limit,66765,346,135
12,0,300,blend,B*4h,0,0,3,effort_steps_4,18,4,129762,300.111,False,time_limit,61059,249,135
12,0,300,clipped,B*4h,0,0,3,effort_steps_4,18,4,132476,300.325,False,time_limit,62203,322,135
12,0,300,tempo,7f7e,299,299,4,effort_steps_4,16,5,133204,300.095,False,time_limit,65206,54,135
12,1,300,history,B*4h,0,0,4,plies,12,4,150865,300.093,False,time_limit,538,2,0
12,1,300,adaptive,B*4h,0,0,3,effort_steps_4,20,4,140263,300.094,False,time_limit,64837,342,135
12,1,300,blend,B*4h,0,0,3,effort_steps_4,18,4,137597,300.092,False,time_limit,64892,424,135
12,1,300,clipped,B*4h,0,0,3,effort_steps_4,18,4,137055,300.094,False,time_limit,64502,424,135
12,1,300,tempo,7f7e,299,299,4,effort_steps_4,16,5,135561,300.095,False,time_limit,66774,54,135
12,1,300,baseline,B*4h,0,0,4,plies,12,4,143354,300.091,False,time_limit,0,0,0
13,0,1000,history,9f9e,0,0,6,plies,14,12,435349,1000.112,False,time_limit,5572,1,0
13,0,1000,adaptive,9f9e,0,0,5,effort_steps_4,25,6,422421,1001.444,False,time_limit,138141,114,168
