phase,root,repeat,variant,elapsed_ms,nodes,q_generated_moves,q_avoided_generations
cycle2,5,0,cycle1,23.458,3252,3473,
cycle2,6,0,v0.8,57.489,10003,,
cycle2,6,0,cycle1,67.386,10003,18473,
cycle2,6,0,cycle2,64.429,10003,9242,3734
cycle2,7,0,cycle1,17.383,2703,7117,
cycle2,7,0,cycle2,16.624,2703,1235,1946
cycle2,7,0,v0.8,19.774,2703,,
cycle2,0,1,cycle1,25.058,5041,2379,
cycle2,0,1,cycle2,25.32,5041,1137,3352
cycle2,0,1,v0.8,34.412,5041,,
cycle2,1,1,cycle2,28.433,5176,970,4151
cycle2,1,1,v0.8,40.409,5176,,
cycle2,1,1,cycle1,30.42,5176,2249,
cycle2,2,1,v0.8,59.158,7053,,
cycle2,2,1,cycle1,56.652,7053,6301,
cycle2,2,1,cycle2,48.895,7053,2304,4883
cycle2,3,1,cycle1,57.899,6600,6350,
cycle2,3,1,cycle2,36.381,6600,2350,4679
cycle2,3,1,v0.8,59.905,6600,,
cycle2,4,1,cycle2,15.847,2853,1132,1914
cycle2,4,1,v0.8,21.851,2853,,
cycle2,4,1,cycle1,16.069,2853,6431,
cycle2,5,1,v0.8,23.486,3252,,
cycle2,5,1,cycle1,17.201,3252,3473,
cycle2,5,1,cycle2,19.836,3252,1687,2055
cycle2,6,1,cycle1,47.958,10003,18473,
cycle2,6,1,cycle2,43.761,10003,9242,3734
cycle2,6,1,v0.8,57.262,10003,,
cycle2,7,1,cycle2,13.487,2703,1235,1946
cycle2,7,1,v0.8,17.776,2703,,
cycle2,7,1,cycle1,14.625,2703,7117,
cycle2,0,2,cycle2,27.529,5041,1137,3352
cycle2,0,2,v0.8,34.995,5041,,
cycle2,0,2,cycle1,30.511,5041,2379,
cycle2,1,2,v0.8,37.115,5176,,
cycle2,1,2,cycle1,29.308,5176,2249,
cycle2,1,2,cycle2,27.178,5176,970,4151
cycle2,2,2,cycle1,46.783,7053,6301,
cycle2,2,2,cycle2,44.825,7053,2304,4883
cycle2,2,2,v0.8,48.323,7053,,
cycle2,3,2,cycle2,40.306,6600,2350,4679
cycle2,3,2,v0.8,45.636,6600,,
cycle2,3,2,cycle1,38.814,6600,6350,
cycle2,4,2,v0.8,16.377,2853,,
cycle2,4,2,cycle1,15.217,2853,6431,
cycle2,4,2,cycle2,21.567,2853,1132,1914
cycle2,5,2,cycle1,18.739,3252,3473,
cycle2,5,2,cycle2,24.087,3252,1687,2055
cycle2,5,2,v0.8,18.561,3252,,
cycle2,6,2,cycle2,68.62,10003,9242,3734
cycle2,6,2,v0.8,55.48,10003,,
cycle2,6,2,cycle1,44.602,10003,18473,
cycle2,7,2,v0.8,17.312,2703,,
cycle2,7,2,cycle1,15.9,2703,7117,
cycle2,7,2,cycle2,14.715,2703,1235,1946
cycle2,0,3,v0.8,32.1,5041,,
cycle2,0,3,cycle1,28.665,5041,2379,
cycle2,0,3,cycle2,26.392,5041,1137,3352
cycle2,1,3,cycle1,34.146,5176,2249,
cycle2,1,3,cycle2,48.648,5176,970,4151
cycle2,1,3,v0.8,33.593,5176,,
cycle2,2,3,cycle2,40.471,7053,2304,4883
cycle2,2,3,v0.8,57.423,7053,,
cycle2,2,3,cycle1,51.782,7053,6301,
cycle2,3,3,v0.8,68.851,6600,,
cycle2,3,3,cycle1,34.892,6600,6350,
cycle2,3,3,cycle2,44.635,6600,2350,4679
cycle2,4,3,cycle1,14.282,2853,6431,
cycle2,4,3,cycle2,14.6,2853,1132,1914
cycle2,4,3,v0.8,30.721,2853,,
cycle2,5,3,cycle2,18.435,3252,1687,2055
cycle2,5,3,v0.8,20.365,3252,,
cycle2,5,3,cycle1,16.904,3252,3473,
cycle2,6,3,v0.8,68.378,10003,,
cycle2,6,3,cycle1,46.981,10003,18473,
cycle2,6,3,cycle2,45.452,10003,9242,3734
cycle2,7,3,cycle1,16.121,2703,7117,
cycle2,7,3,cycle2,15.672,2703,1235,1946
cycle2,7,3,v0.8,18.345,2703,,
cycle2,0,4,cycle1,43.84,5041,2379,
cycle2,0,4,cycle2,38.339,5041,1137,3352
cycle2,0,4,v0.8,31.124,5041,,
cycle2,1,4,cycle2,26.511,5176,970,4151
